time(s)	accl(g)
14.322	-0.030550406400
14.323	-0.030787802400
14.324	-0.031025198400
14.325	-0.031262594400
14.326	-0.031499990400
14.327	-0.031737386400
14.328	-0.031974782400
14.329	-0.031736994000
14.330	-0.031499205600
14.331	-0.031261417200
14.332	-0.031023628800
14.333	-0.030785840400
14.334	-0.030548052000
14.335	-0.029747094000
14.336	-0.028946136000
14.337	-0.028145178000
14.338	-0.027344220000
14.339	-0.026543262000
14.340	-0.025742304000
14.341	-0.024407722800
14.342	-0.023073141600
14.343	-0.021738560400
14.344	-0.020403979200
14.345	-0.019069398000
14.346	-0.017734816800
14.347	-0.015993802800
14.348	-0.014252788800
14.349	-0.012511774800
14.350	-0.010770760800
14.351	-0.009029746800
14.352	-0.007288732800
14.353	-0.005317271400
14.354	-0.003345810000
14.355	-0.001374348600
14.356	0.000597112800
14.357	0.002568574200
14.358	0.004540035600
14.359	0.006523725000
14.360	0.008507414400
14.361	0.010491103800
14.362	0.012474793200
14.363	0.014458482600
14.364	0.016442172000
14.365	0.018138591600
14.366	0.019835011200
14.367	0.021531430800
14.368	0.023227850400
14.369	0.024924270000
14.370	0.026620689600
14.371	0.027730765200
14.372	0.028840840800
14.373	0.029950916400
14.374	0.031060992000
14.375	0.032171067600
14.376	0.033281143200
14.377	0.033627396000
14.378	0.033973648800
14.379	0.034319901600
14.380	0.034666154400
14.381	0.035012407200
14.382	0.035358660000
14.383	0.034937950800
14.384	0.034517241600
14.385	0.034096532400
14.386	0.033675823200
14.387	0.033255114000
14.388	0.032834404800
14.389	0.031784510400
14.390	0.030734616000
14.391	0.029684721600
14.392	0.028634827200
14.393	0.027584932800
14.394	0.026535038400
14.395	0.025066334400
14.396	0.023597630400
14.397	0.022128926400
14.398	0.020660222400
14.399	0.019191518400
14.400	0.017722814400
14.401	0.016051527600
14.402	0.014380240800
14.403	0.012708954000
14.404	0.011037667200
14.405	0.009366380400
14.406	0.007695093600
14.407	0.006025767720
14.408	0.004356441840
14.409	0.002687115960
14.410	0.001017790080
14.411	-0.000651535800
14.412	-0.002320861680
14.413	-0.003747642600
14.414	-0.005174423520
14.415	-0.006601204440
14.416	-0.008027985360
14.417	-0.009454766280
14.418	-0.010881547200
14.419	-0.011831529600
14.420	-0.012781512000
14.421	-0.013731494400
14.422	-0.014681476800
14.423	-0.015631459200
14.424	-0.016581441600
14.425	-0.016915784400
14.426	-0.017250127200
14.427	-0.017584470000
14.428	-0.017918812800
14.429	-0.018253155600
14.430	-0.018587498400
14.431	-0.018307185600
14.432	-0.018026872800
14.433	-0.017746560000
14.434	-0.017466247200
14.435	-0.017185934400
14.436	-0.016905621600
14.437	-0.016134556800
14.438	-0.015363492000
14.439	-0.014592427200
14.440	-0.013821362400
14.441	-0.013050297600
14.442	-0.012279232800
14.443	-0.011205271080
14.444	-0.010131309360
14.445	-0.009057347640
14.446	-0.007983385920
14.447	-0.006909424200
14.448	-0.005835462480
14.449	-0.004636719840
14.450	-0.003437977200
14.451	-0.002239234560
14.452	-0.001040491920
14.453	0.000158250720
14.454	0.001356993360
14.455	0.002560485000
14.456	0.003763976640
14.457	0.004967468280
14.458	0.006170959920
14.459	0.007374451560
14.460	0.008577943200
14.461	0.009735429600
14.462	0.010892916000
14.463	0.012050402400
14.464	0.013207888800
14.465	0.014365375200
14.466	0.015522861600
14.467	0.016638915600
14.468	0.017754969600
14.469	0.018871023600
14.470	0.019987077600
14.471	0.021103131600
14.472	0.022219185600
14.473	0.023327104800
14.474	0.024435024000
14.475	0.025542943200
14.476	0.026650862400
14.477	0.027758781600
14.478	0.028866700800
14.479	0.029999229600
14.480	0.031131758400
14.481	0.032264287200
14.482	0.033396816000
14.483	0.034529344800
14.484	0.035661873600
14.485	0.036825720000
14.486	0.037989566400
14.487	0.039153412800
14.488	0.040317259200
14.489	0.041481105600
14.490	0.042644952000
14.491	0.043736539200
14.492	0.044828126400
14.493	0.045919713600
14.494	0.047011300800
14.495	0.048102888000
14.496	0.049194475200
14.497	0.049954964400
14.498	0.050715453600
14.499	0.051475942800
14.500	0.052236432000
14.501	0.052996921200
14.502	0.053757410400
14.503	0.053896890000
14.504	0.054036369600
14.505	0.054175849200
14.506	0.054315328800
14.507	0.054454808400
14.508	0.054594288000
14.509	0.053935059600
14.510	0.053275831200
14.511	0.052616602800
14.512	0.051957374400
14.513	0.051298146000
14.514	0.050638917600
14.515	0.049182364800
14.516	0.047725812000
14.517	0.046269259200
14.518	0.044812706400
14.519	0.043356153600
14.520	0.041899600800
14.521	0.039808099200
14.522	0.037716597600
14.523	0.035625096000
14.524	0.033533594400
14.525	0.031442092800
14.526	0.029350591200
14.527	0.026874745200
14.528	0.024398899200
14.529	0.021923053200
14.530	0.019447207200
14.531	0.016971361200
14.532	0.014495515200
14.533	0.011887990680
14.534	0.009280466160
14.535	0.006672941640
14.536	0.004065417120
14.537	0.001457892600
14.538	-0.001149631920
14.539	-0.003699910200
14.540	-0.006250188480
14.541	-0.008800466760
14.542	-0.011350745040
14.543	-0.013901023320
14.544	-0.016451301600
14.545	-0.018835160400
14.546	-0.021219019200
14.547	-0.023602878000
14.548	-0.025986736800
14.549	-0.028370595600
14.550	-0.030754454400
14.551	-0.032923695600
14.552	-0.035092936800
14.553	-0.037262178000
14.554	-0.039431419200
14.555	-0.041600660400
14.556	-0.043769901600
14.557	-0.045719379600
14.558	-0.047668857600
14.559	-0.049618335600
14.560	-0.051567813600
14.561	-0.053517291600
14.562	-0.055466769600
14.563	-0.057126624000
14.564	-0.058786478400
14.565	-0.060446332800
14.566	-0.062106187200
14.567	-0.063766041600
14.568	-0.065425896000
14.569	-0.066555648000
14.570	-0.067685400000
14.571	-0.068815152000
14.572	-0.069944904000
14.573	-0.071074656000
14.574	-0.072204408000
14.575	-0.072507060000
14.576	-0.072809712000
14.577	-0.073112364000
14.578	-0.073415016000
14.579	-0.073717668000
14.580	-0.074020320000
14.581	-0.073309324800
14.582	-0.072598329600
14.583	-0.071887334400
14.584	-0.071176339200
14.585	-0.070465344000
14.586	-0.069754348800
14.587	-0.068040758400
14.588	-0.066327168000
14.589	-0.064613577600
14.590	-0.062899987200
14.591	-0.061186396800
14.592	-0.059472806400
14.593	-0.056952193200
14.594	-0.054431580000
14.595	-0.051910966800
14.596	-0.049390353600
14.597	-0.046869740400
14.598	-0.044349127200
14.599	-0.041322516000
14.600	-0.038295904800
14.601	-0.035269293600
14.602	-0.032242682400
14.603	-0.029216071200
14.604	-0.026189460000
14.605	-0.022964161200
14.606	-0.019738862400
14.607	-0.016513563600
14.608	-0.013288264800
14.609	-0.010062966000
14.610	-0.006837667200
14.611	-0.003647752800
14.612	-0.000457838400
14.613	0.002732076000
14.614	0.005921990400
14.615	0.009111904800
14.616	0.012301819200
14.617	0.015333492000
14.618	0.018365164800
14.619	0.021396837600
14.620	0.024428510400
14.621	0.027460183200
14.622	0.030491856000
14.623	0.033340874400
14.624	0.036189892800
14.625	0.039038911200
14.626	0.041887929600
14.627	0.044736948000
14.628	0.047585966400
14.629	0.050180703600
14.630	0.052775440800
14.631	0.055370178000
14.632	0.057964915200
14.633	0.060559652400
14.634	0.063154389600
14.635	0.065230014000
14.636	0.067305638400
14.637	0.069381262800
14.638	0.071456887200
14.639	0.073532511600
14.640	0.075608136000
14.641	0.076823340000
14.642	0.078038544000
14.643	0.079253748000
14.644	0.080468952000
14.645	0.081684156000
14.646	0.082899360000
14.647	0.083025456000
14.648	0.083151552000
14.649	0.083277648000
14.650	0.083403744000
14.651	0.083529840000
14.652	0.083655936000
14.653	0.082681020000
14.654	0.081706104000
14.655	0.080731188000
14.656	0.079756272000
14.657	0.078781356000
14.658	0.077806440000
14.659	0.075928092000
14.660	0.074049744000
14.661	0.072171396000
14.662	0.070293048000
14.663	0.068414700000
14.664	0.066536352000
14.665	0.064077358800
14.666	0.061618365600
14.667	0.059159372400
14.668	0.056700379200
14.669	0.054241386000
14.670	0.051782392800
14.671	0.049081509600
14.672	0.046380626400
14.673	0.043679743200
14.674	0.040978860000
14.675	0.038277976800
14.676	0.035577093600
14.677	0.032898932400
14.678	0.030220771200
14.679	0.027542610000
14.680	0.024864448800
14.681	0.022186287600
14.682	0.019508126400
14.683	0.017002696440
14.684	0.014497266480
14.685	0.011991836520
14.686	0.009486406560
14.687	0.006980976600
14.688	0.004475546640
14.689	0.002251110600
14.690	0.000026674560
14.691	-0.002197761480
14.692	-0.004422197520
14.693	-0.006646633560
14.694	-0.008871069600
14.695	-0.010647880800
14.696	-0.012424692000
14.697	-0.014201503200
14.698	-0.015978314400
14.699	-0.017755125600
14.700	-0.019531936800
14.701	-0.020687392800
14.702	-0.021842848800
14.703	-0.022998304800
14.704	-0.024153760800
14.705	-0.025309216800
14.706	-0.026464672800
14.707	-0.026909882400
14.708	-0.027355092000
14.709	-0.027800301600
14.710	-0.028245511200
14.711	-0.028690720800
14.712	-0.029135930400
14.713	-0.028909660800
14.714	-0.028683391200
14.715	-0.028457121600
14.716	-0.028230852000
14.717	-0.028004582400
14.718	-0.027778312800
14.719	-0.027030388800
14.720	-0.026282464800
14.721	-0.025534540800
14.722	-0.024786616800
14.723	-0.024038692800
14.724	-0.023290768800
14.725	-0.022253559600
14.726	-0.021216350400
14.727	-0.020179141200
14.728	-0.019141932000
14.729	-0.018104722800
14.730	-0.017067513600
14.731	-0.016049859600
14.732	-0.015032205600
14.733	-0.014014551600
14.734	-0.012996897600
14.735	-0.011979243600
14.736	-0.010961589600
14.737	-0.010268790840
14.738	-0.009575992080
14.739	-0.008883193320
14.740	-0.008190394560
14.741	-0.007497595800
14.742	-0.006804797040
14.743	-0.006634577040
14.744	-0.006464357040
14.745	-0.006294137040
14.746	-0.006123917040
14.747	-0.005953697040
14.748	-0.005783477040
14.749	-0.006176409000
14.750	-0.006569340960
14.751	-0.006962272920
14.752	-0.007355204880
14.753	-0.007748136840
14.754	-0.008141068800
14.755	-0.008997327600
14.756	-0.009853586400
14.757	-0.010709845200
14.758	-0.011566104000
14.759	-0.012422362800
14.760	-0.013278621600
14.761	-0.014418056400
14.762	-0.015557491200
14.763	-0.016696926000
14.764	-0.017836360800
14.765	-0.018975795600
14.766	-0.020115230400
14.767	-0.021340951200
14.768	-0.022566672000
14.769	-0.023792392800
14.770	-0.025018113600
14.771	-0.026243834400
14.772	-0.027469555200
14.773	-0.028580292000
14.774	-0.029691028800
14.775	-0.030801765600
14.776	-0.031912502400
14.777	-0.033023239200
14.778	-0.034133976000
14.779	-0.034942892400
14.780	-0.035751808800
14.781	-0.036560725200
14.782	-0.037369641600
14.783	-0.038178558000
14.784	-0.038987474400
14.785	-0.039382142400
14.786	-0.039776810400
14.787	-0.040171478400
14.788	-0.040566146400
14.789	-0.040960814400
14.790	-0.041355482400
14.791	-0.041353994400
14.792	-0.041352506400
14.793	-0.041351018400
14.794	-0.041349530400
14.795	-0.041348042400
14.796	-0.041346554400
14.797	-0.041091440400
14.798	-0.040836326400
14.799	-0.040581212400
14.800	-0.040326098400
14.801	-0.040070984400
14.802	-0.039815870400
14.803	-0.039501844800
14.804	-0.039187819200
14.805	-0.038873793600
14.806	-0.038559768000
14.807	-0.038245742400
14.808	-0.037931716800
14.809	-0.037727206800
14.810	-0.037522696800
14.811	-0.037318186800
14.812	-0.037113676800
14.813	-0.036909166800
14.814	-0.036704656800
14.815	-0.036702728400
14.816	-0.036700800000
14.817	-0.036698871600
14.818	-0.036696943200
14.819	-0.036695014800
14.820	-0.036693086400
14.821	-0.036894777600
14.822	-0.037096468800
14.823	-0.037298160000
14.824	-0.037499851200
14.825	-0.037701542400
14.826	-0.037903233600
14.827	-0.038220290400
14.828	-0.038537347200
14.829	-0.038854404000
14.830	-0.039171460800
14.831	-0.039488517600
14.832	-0.039805574400
14.833	-0.040103358000
14.834	-0.040401141600
14.835	-0.040698925200
14.836	-0.040996708800
14.837	-0.041294492400
14.838	-0.041592276000
14.839	-0.041740617600
14.840	-0.041888959200
14.841	-0.042037300800
14.842	-0.042185642400
14.843	-0.042333984000
14.844	-0.042482325600
14.845	-0.042350538000
14.846	-0.042218750400
14.847	-0.042086962800
14.848	-0.041955175200
14.849	-0.041823387600
14.850	-0.041691600000
14.851	-0.041159895600
14.852	-0.040628191200
14.853	-0.040096486800
14.854	-0.039564782400
14.855	-0.039033078000
14.856	-0.038501373600
14.857	-0.037509313200
14.858	-0.036517252800
14.859	-0.035525192400
14.860	-0.034533132000
14.861	-0.033541071600
14.862	-0.032549011200
14.863	-0.031125050400
14.864	-0.029701089600
14.865	-0.028277128800
14.866	-0.026853168000
14.867	-0.025429207200
14.868	-0.024005246400
14.869	-0.022283160000
14.870	-0.020561073600
14.871	-0.018838987200
14.872	-0.017116900800
14.873	-0.015394814400
14.874	-0.013672728000
14.875	-0.011865850320
14.876	-0.010058972640
14.877	-0.008252094960
14.878	-0.006445217280
14.879	-0.004638339600
