%	VERSION NUMBER:	1
%	FILE DATE:	Fri Jul 29 11:09:15 2022	
%	FILE NAME:	
%	
%	FILE TYPE:	TIME HISTORY
%	SAMPLE INTERVAL TYPE:	FIXED
%	SAMPLE INTERVAL UNIT TYPE:	Time
%	SAMPLE INTERVAL UNIT NAME:	sec
%	SAMPLE INTERVAL SIZE:	0.001
%       DISPLACEMENT UNIT:  mm


0.853	-15.82318966
0.854	-15.61273021
0.855	-15.39886394
0.856	-15.18166761
0.857	-14.96121945
0.858	-14.73759919
0.859	-14.51088798
0.860	-14.28116836
0.861	-14.04852426
0.862	-13.81304094
0.863	-13.57480494
0.864	-13.33390408
0.865	-13.0904274
0.866	-12.84446514
0.867	-12.59610868
0.868	-12.34545052
0.869	-12.09258423
0.870	-11.83760442
0.871	-11.58060668
0.872	-11.32168758
0.873	-11.0609446
0.874	-10.79847606
0.875	-10.53438115
0.876	-10.26875983
0.877	-10.00171281
0.878	-9.733341485
0.879	-9.463747928
0.880	-9.193034816
0.881	-8.921305395
0.882	-8.648663435
0.883	-8.375213184
0.884	-8.101059321
0.885	-7.826306914
0.886	-7.55106137
0.887	-7.275428388
0.888	-6.999513918
0.889	-6.723424104
0.890	-6.447265249
0.891	-6.171143755
0.892	-5.895166087
0.893	-5.619438716
0.894	-5.344068077
0.895	-5.069160518
0.896	-4.794822254
0.897	-4.521159318
0.898	-4.248277513
0.899	-3.976282363
0.900	-3.705279065
0.901	-3.435372445
0.902	-3.166666903
0.903	-2.89926637
0.904	-2.633274259
0.905	-2.368793417
0.906	-2.105926078
0.907	-1.844773814
0.908	-1.58543749
0.909	-1.328017214
0.910	-1.072612294
0.911	-0.81932119
0.912	-0.568241465
0.913	-0.319469743
0.914	-0.073101661
0.915	0.170768174
0.916	0.412046232
0.917	0.650640106
0.918	0.886458551
0.919	1.119411531
0.920	1.349410264
0.921	1.576367261
0.922	1.800196369
0.923	2.020812814
0.924	2.238133243
0.925	2.452075761
0.926	2.662559974
0.927	2.869507027
0.928	3.072839645
0.929	3.272482166
0.930	3.468360586
0.931	3.660402589
0.932	3.848537584
0.933	4.032696746
